"nimi","yritys","ytunnus","osoite","postitoimipaikka","postinumero","laitospaikka","laitostyyppi","erillistuotanto_maksimi_yhteensa","erillistuotanto_tunti_yhteensa","erillistuotanto_poistettu","yhteistuotanto_teollisuus_yhteensa","yhteistuotanto_teollisuus_tunti","yhteistuotanto_teollisuus_poistettu","yhteistuotanto_kaunkolampo_yhteensa","yhteistuotanto_kaukolampo_tunti","yhteistuotanto_kaukolampo_poistettu","maksimi_yhteensa","tunti_yhteensa","poistettu_yhteensa","polttoaine1","polttoaine2","polttoaine3"
"Uljua","Vattenfall Sähköntuotanto oy","1076456-5","Maaistraatinportti 4 A","Helsinki",240,"Pulkkila / Uljua","Vesivoima","3,7","3,7",0,0,0,0,0,0,0,"3,7","3,7",0,,,
"Utanen","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Utanen","Vesivoima","57,8","57,8",0,0,0,0,0,0,0,"57,8","57,8",0,,,
"Uusikaupunki","Yara Suomi Oy","0948865-5","PL 5 Uusikaupunki","Uusikaupunki",23501,"Uusukaupunki, Hangonsaari","Teollisuus CHP",0,0,0,"14,2","13,5",0,0,0,0,"14,2","13,5",0,"Teollisuuden reaktiolämpö","Raskas öljy",
"Vaaja","SUUR-SAVON SÄHKÖ Oy","0215863-7","Otto Mannisen katu 6","Mikkeli",50101,"Vaajakoski, Jyväskylän mlk","Vesivoima","3,6","3,6",0,0,0,0,0,0,0,"3,6","3,6",0,,,
"Vaasa","Vaasan Sähkö Oy","0209628-8","Kirkkopuistikko 0","Vaasa",65100,"Palosaaren sillan voimalaitos","Kaukolämpö CHP",0,0,0,0,0,0,0,0,13,0,0,13,"Raskas öljy","Keskiraskas öljy",
"Vajukoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Vajukoski","Vesivoima","22,4",22,0,0,0,0,0,0,0,"22,4",22,0,,,
"Valajaskoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Valajaskoski","Vesivoima",92,82,0,0,0,0,0,0,0,92,82,0,,,
"Valkeisten voima","Mika Manni","1757675-1","Ojajärventie 97","Louko",61190,"Seinäjoki","Tuulivoima","1,5","1,5",0,0,0,0,0,0,0,"1,5","1,5",0,,,
"Vanaja kt 1","Fingrid Oyj","1072894-3","PL 530 ( Arkadiakatu 23 B)","Helsinki",100,"Vanaja kt","Erillistuotanto",50,50,0,0,0,0,0,0,0,50,50,0,"Keskiraskas öljy",,
"Vantaan jätevoimala","Vantaan Energia Oy","0124461-3","Peltolantie 27","Vantaa ",1610,"Vantaan Jätevoimala","Kaukolämpö CHP",0,0,0,0,0,0,"81,4","76,4",0,"81,4","76,4",0,"Sekapolttoaineet","Maakaasu","Keskiraskas öljy"
"Vanttauskoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Vanttauskoski","Vesivoima","94,4","86,5",0,0,0,0,0,0,0,"94,4","86,5",0,,,
"Varissaari","Keuruun Lämpövoima Oy","0208389-0","PL 50","Keuruu",42701,"Varissaari","Kaukolämpö CHP",0,0,0,0,0,0,"4,5","4,5",0,"4,5","4,5",0,"Metsäpolttoaine, puu","Turve","Keskiraskas öljy"
"Varkaus lä ","Stora Enso Oyj","1039050-8 ","Satakunnankatu 10","Varkaus",78201,"Varkaus","Teollisuus CHP","4,8","4,8",0,47,25,0,0,0,0,"51,8","29,8",0,"Puunjalostusteolliuuden jäteliemet","Metsäpolttoaine, puu","Muut polttoaineena käytettävät sivu- ja jätetuotteet"
"Vartinoja 1","Vartinoja I Ky","2584436-5","PL3","Lähitapiola",2010,"Vartinoja 1","Tuulivoima","25,65","25,65",0,0,0,0,0,0,0,"25,65","25,65",0,,,
"Wasa Wind ","Wasa Wind Oy","2415208-4","Yrittäjänkatu 13","Vaasa",65380,"Myrgrundintie 346 B, 65410 Vaasa","Tuulivoima","3,6","3,6",0,0,0,0,0,0,0,"3,6","3,6",0,,,
"Vaskiluoto 2","Vaskiluodon Voima Oy","0198680-1","Frilundintie 7","Vaasa",65170,"Vaasa ( Vaskiluoto 2 )","Kaukolämpö CHP",0,0,0,0,0,0,230,230,0,230,230,0,"Kivihiili","Raskas öljy",
"Vaskiluoto 3","PVO-Huippuvoima Oy","1062421-2","Frilundintie 7","Vaasa",65170,"Vaasa  ( Vaskiluoto 3 )","Kaukolämpö CHP",0,0,164,0,0,0,0,0,0,0,0,164,"Raskas öljy",,
"Vaskiluoto kt","Fingrid Oyj","1072894-3","PL 530 ( Arkadiakatu 23 B)","Helsinki",100,"Vaskiluoto kt 2","Erillistuotanto",26,26,0,0,0,0,0,0,0,26,26,0,"Keskiraskas öljy",,
"Waskiluoto Validation Center","Wärtsilä Finland Oy","0773744-3","Järvikatu 2-4","Vaasa",65100,"Waskiluoto Validation Center","Erillistuotanto","5,5","5,5",9,0,0,0,0,0,0,"5,5","5,5",9,"Raskas öljy","Raskas öljy","Keskiraskas öljy"
"Vatajankoski","Vatajankosken Sähkö Oy","0398580-2","PL 12","Kankaanpää",38701,"Vatajankoski","Vesivoima","0,75","0,75",0,0,0,0,0,0,0,"0,75","0,75",0,,,
"Vehmaa","Biovakka Suomi Oy","2105973-0","Kalannintie 191","Vehmaa",23200,"markku.ahlqvist@biovakka.fi","Teollisuus CHP",0,0,0,"1,4","1,4",0,0,0,0,"1,4","1,4",0,"Biokaasu",,
"Veitsiluoto","Stora Enso Oyj","1039050-8","Veitsiluodon tehdas","Kemi",94800,"Veitsiluoto","Teollisuus CHP",0,0,0,90,90,0,0,0,0,90,90,0,"Puunjalostusteolliuuden jäteliemet","Teollisuuden puutähde","Turve"
"Venetpalo","Vattenfall Sähköntuotanto oy","1076456-5","Maaistraatinportti 4 A","Helsinki",240,"Kärsämäki / Venetpalo","Vesivoima","1,8","1,8",0,0,0,0,0,0,0,"1,8","1,8",0,,,
"Verla 1 ja 2","KSS Energia Oy","0877511-8","Paimenpolku 3","Kouvola",45100,"Valkeala / Verla","Vesivoima",3,3,0,0,0,0,0,0,0,3,3,0,,,
"Westenergy jätteenpolttolaitos"," Vaasan Sähkö Oy (Westenergy Oy Ab)","0209628-8","PL 26","Vaasa ",65101,"Energiatie 37, 66530 Koivulahti","Kaukolämpö CHP",0,0,0,0,0,0,"13,2","11,2",0,"13,2","11,2",0,"Sekapolttoaineet",,
"Vihreäsaari retrofit","Vihreäsaari Wind Oy","2695464-6","c/o Revico Grant Thornton Oy, Paciuksenkatu 27","Helsinki",271,"Vihreäsaari retrofit","Tuulivoima","3,45","3,45",0,0,0,0,0,0,0,"3,45","3,45",0,,,
"Vihtakoski","Pohjois-Karjalan Sähkö Oy","0214732-1","Rantakatu 29","Joensuu",80100,"Joensuu, Vihtakoski","Vesivoima","1,5","0,7",0,0,0,0,0,0,0,"1,5","0,7",0,,,
"Viikinmäki","Helsingin Vesi","0201256-6","PL 1100","Helsingin kaupunki",99,"Viikinmäen jätevedenpuhdistamo","Teollisuus CHP",0,0,0,"2,7","2,1",0,0,0,0,"2,7","2,1",0,"Biokaasu","Keskiraskas öljy",
"Vilppulan saha","Biokraft Oy","1931103-6","c/o Vapo Oy","PL 22",40101,"Vilppula","Teollisuus CHP",0,0,0,"2,9","2,9",0,0,0,0,"2,9","2,9",0,"Teollisuuden puutähde","Teollisuuden puutähde",
"Voikkaa ve 1","UPM Energy Oy","2760639-5","Ky-35","Kuusankoski",45700,"Voikkaa 1","Vesivoima","8,9","8,2",0,0,0,0,0,0,0,"8,9","8,2",0,,,
"Voikkaa ve 2","UPM Energy Oy","2760639-5","Ky-35"," Valkeakoski",45700,"Voikkaa 2","Vesivoima",24,23,0,0,0,0,0,0,0,24,23,0,,,
"Voimala 1 - Etelänkylä-Kalajoki","Tuulipuisto Oy Etelänkylä","2570135-6","Tuulipuisto Oy Etelänkylä (c/o Taxpoint Oy), Mannerheimintie 20 B","Helsinki",100,"Voimala 1 - Etelänkylä-Kalajoki","Tuulivoima","3,3","3,3",0,0,0,0,0,0,0,"3,3","3,3",0,,,
"Voimala 2 - Etelänkylä-Kalajoki","Tuulipuisto Oy Etelänkylä","2570135-6","Tuulipuisto Oy Etelänkylä (c/o Taxpoint Oy), Mannerheimintie 20 B","Helsinki",100,"Voimala 2 - Etelänkylä-Kalajoki","Tuulivoima","3,3","3,3",0,0,0,0,0,0,0,"3,3","3,3",0,,,
"Vuolenkoski ve","Myllykoski Paper Oy","0103132-3","Myllykoskentie 1","Anjalankoski",46800,"Vuolenkosken vesivoimalaitos","Vesivoima","9,5",9,0,0,0,0,0,0,0,"9,5",9,0,,,
"Vuosaari A","Helsingin Energia",9000002882,"Kampinkuja 2","HELEN",90,"Vuosaari A-voimalaitos","Kaukolämpö CHP",0,0,0,0,0,0,163,160,0,163,160,0,"Maakaasu","Keskiraskas öljy",
"Vuosaari B","Helsingin Energia",9000002882,"Kampinkuja 2","HELEN",90,"Vuosaari B-voimalaitos","Kaukolämpö CHP",0,0,0,0,0,0,485,470,0,485,470,0,"Maakaasu","Keskiraskas öljy",
"Värnå","Esse Elektro-Kraft Ab","0181952-8","Seinpottvägen 3","Esse",68820,"Värnå 1, Värnå 2","Vesivoima","1,2","1,2",0,0,0,0,0,0,0,"1,2","1,2",0,,,
"Wärtsilä tehdas","Wärtsilä Finland Oy","0773744-3","Järvikatu 2-4","Vaasa",65100,"Wärtsilä Engine Laboratory","Erillistuotanto","10,4","10,4",0,0,0,0,0,0,0,"10,4","10,4",0,"Raskas öljy","Raskas öljy","Keskiraskas öljy"
"Vääräkoski","Pohjois-Karjalan Sähkö Oy","0214732-1","Rantakatu 29","Joensuu",80100,"Tohmajärvi, Vääräkoski","Vesivoima","1,8","0,7",0,0,0,0,0,0,0,"1,8","0,7",0,,,
"Ykspihlaja Wind Oy","Ykspihlaja Wind Oy","2785595-7","Lapinlahdenkatu 1 C","Helsinki",180,"Ykspihlaja Wind Oy","Tuulivoima","14,4","14,4",0,0,0,0,0,0,0,"14,4","14,4",0,,,
"Ylivieska","Oy Perhonjoki AB","1657717-0","Isokatu 8","68600 Pietarsaari",100,"Tulolantien voimalaitos, Ylivieska, Vieskan Voima","Kaukolämpö CHP",0,0,0,0,0,0,"6,2","6,2",0,"6,2","6,2",0,"Turve",,
"Åminnefors","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Åminnefors, Pohja","Vesivoima",1,1,0,0,0,0,0,0,0,1,1,0,,,
"Äetsä","UPM Energy Oy","2760639-5","Ky-35","Kuusankoski",45700,"Äetsä","Vesivoima","19,7","14,6",0,0,0,0,0,0,0,"19,7","14,6",0,,,
"Ämmä","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Ämmä","Vesivoima",14,14,0,0,0,0,0,0,0,14,14,0,,,
"Ämmäkoski","Kainuun Voima Oy","0626023-3","Tehdaskatu 17","PL 302","87101 Kajaani","Ämmäkoski","Vesivoima","1,57","1,57",0,0,0,0,0,0,0,"1,57","1,57",0,,,
"Ämmässuo","Helsingin seudun ympäristöpalvelut -kuntayhtymä (HSY)","2274241-9","PL 100","HSY",66,"Ämmässuon jätteenkäsittelykeskus","Kaukolämpö CHP",0,0,0,0,0,0,"15,65","15,65",0,"15,65","15,65",0,"Biokaasu",,
"Ämmässuo 2","Helsingin seudun ympäristöpalvelut -kuntayhtymä (HSY)","2274241-9","PL 100","HSY",66,"Ämmässuon jätteenkäsittelykeskus","Kaukolämpö CHP",0,0,0,0,0,0,"3,13","3,13",0,"3,13","3,13",0,"Biokaasu",,
"Äänekoski ht","Äänevoima Oy","1634090-7","PL 200","ÄÄNEKOSKI",44101,"Äänevoima Oy","Teollisuus CHP",0,0,0,35,35,0,0,0,0,35,35,0,"Teollisuuden puutähde","Metsäpolttoaine, puu","Turve"
"Äänekoski ve","Metsä Board Oyj","635366-7","Revontulentie 6","Espoo",2100,"Metsä Board Äänekosken vesivoimalaitos","Vesivoima",6,6,0,0,0,0,0,0,0,6,6,0,,,
"Äänekoski, Biotuotetehdas","Metsä Fibre","0791416-3","Revontulenpuisto 2 C","Espoo",2100,"Äänekoski, Biotuotetehdas","Teollisuus CHP",0,0,0,280,280,0,0,0,0,280,280,0,"Puunjalostusteolliuuden jäteliemet",,
